lenderNames,productNames,loanAmtLenderMax2,minLenderCreditScore2,state,veteran,foreclosure,capacity
Lender 387,ReFi,280000,570,Minnesota,No,No,25
Lender 63,Auto,310000,540,Oklahoma,Yes,No,37
Lender 146,Home Equity,290000,670,Connecticut,No,No,18
Lender 250,Purchase,330000,620,Vermont,No,Yes,43
Lender 144,Purchase,370000,670,Michigan,No,Yes,32
Lender 347,Auto,320000,700,Colorado,No,No,29
Lender 245,Purchase,250000,620,Louisiana,Yes,No,37
Lender 34,Purchase,300000,660,Maryland,Yes,No,48
Lender 106,Purchase,330000,630,West Virginia,Yes,No,36
Lender 274,ReFi,320000,770,Pennsylvania,No,No,29
Lender 399,ReFi,270000,660,Ohio,Yes,Yes,4
Lender 36,Purchase,330000,610,Wyoming,No,No,27
Lender 400,Auto,300000,690,Louisiana,Yes,Yes,50
Lender 267,Purchase,290000,720,Wyoming,No,No,11
Lender 25,Home Equity,260000,680,Wyoming,Yes,No,12
Lender 49,ReFi,290000,730,New Jersey,Yes,No,21
Lender 27,Purchase,350000,650,Ohio,Yes,Yes,29
Lender 293,Home Equity,270000,690,South Carolina,No,No,37
Lender 231,ReFi,300000,620,Massachusetts,Yes,No,8
Lender 357,Purchase,360000,670,Massachusetts,Yes,No,41
Lender 283,Home Equity,310000,710,South Dakota,Yes,Yes,36
Lender 210,Purchase,260000,640,Alabama,No,No,1
Lender 195,ReFi,230000,650,Nebraska,Yes,No,13
Lender 366,Purchase,320000,670,Alaska,No,No,30
Lender 317,Auto,300000,530,Maine,No,No,13
Lender 296,Home Equity,310000,520,Nebraska,Yes,No,27
Lender 129,ReFi,270000,710,Florida,No,No,17
Lender 139,ReFi,270000,690,North Carolina,No,Yes,10
Lender 154,Auto,310000,690,Kansas,Yes,No,31
Lender 186,ReFi,270000,670,Alaska,No,No,32
Lender 185,ReFi,290000,710,Tennessee,Yes,Yes,27
Lender 74,Auto,260000,620,Rhode Island,Yes,Yes,9
Lender 137,Purchase,320000,730,Wyoming,Yes,Yes,33
Lender 356,Purchase,320000,710,New York,No,No,36
Lender 342,Purchase,280000,640,Kansas,Yes,Yes,29
Lender 161,Purchase,300000,700,Alaska,Yes,Yes,13
Lender 135,ReFi,290000,670,Hawaii,Yes,Yes,45
Lender 373,Purchase,280000,770,Alabama,No,No,49
Lender 254,Auto,290000,660,New Hampshire,Yes,Yes,39
Lender 71,ReFi,320000,730,North Carolina,Yes,Yes,40
Lender 316,Purchase,340000,730,New Jersey,Yes,No,21
Lender 237,Auto,300000,640,New Mexico,Yes,No,50
Lender 119,ReFi,300000,590,Louisiana,Yes,Yes,7
Lender 121,Home Equity,270000,680,Kentucky,No,Yes,16
Lender 294,Auto,270000,650,Mississippi,No,Yes,46
Lender 323,Home Equity,290000,720,Missouri,No,Yes,1
Lender 213,Purchase,300000,650,Colorado,No,Yes,1
Lender 374,ReFi,300000,640,North Carolina,Yes,No,17
Lender 120,Auto,270000,650,Ohio,Yes,Yes,16
Lender 131,ReFi,300000,680,Colorado,Yes,No,31
Lender 184,Auto,350000,740,Indiana,Yes,Yes,14
Lender 23,Auto,310000,630,Maryland,Yes,No,7
Lender 22,Auto,260000,630,Ohio,Yes,Yes,49
Lender 62,Purchase,290000,670,South Dakota,Yes,No,47
Lender 106,Auto,270000,710,Maine,No,No,45
Lender 335,Auto,320000,650,Georgia,Yes,No,27
Lender 174,Auto,270000,740,Maryland,No,Yes,22
Lender 99,ReFi,300000,690,Connecticut,Yes,Yes,36
Lender 188,ReFi,330000,580,Mississippi,Yes,No,24
Lender 156,Home Equity,320000,680,West Virginia,No,No,32
Lender 105,ReFi,320000,680,California,Yes,No,43
Lender 400,Auto,270000,800,Nevada,Yes,No,38
Lender 70,Auto,330000,680,Hawaii,Yes,No,39
Lender 81,ReFi,350000,640,Montana,No,No,12
Lender 168,Home Equity,350000,680,Louisiana,Yes,Yes,41
Lender 104,Auto,310000,720,South Carolina,No,No,25
Lender 204,ReFi,320000,640,Hawaii,No,No,7
Lender 70,Home Equity,300000,630,South Carolina,No,No,7
Lender 340,Auto,240000,700,New York,Yes,No,18
Lender 51,ReFi,380000,700,Wyoming,No,No,47
Lender 293,Auto,210000,630,Maine,No,No,16
Lender 5,ReFi,300000,650,Montana,No,Yes,33
Lender 293,Purchase,310000,690,Rhode Island,Yes,No,28
Lender 155,Purchase,290000,680,South Dakota,No,Yes,33
Lender 204,Home Equity,290000,590,Delaware,Yes,Yes,24
Lender 248,Auto,300000,640,Maine,No,Yes,10
Lender 368,Purchase,290000,630,Montana,No,Yes,49
Lender 267,Auto,250000,630,Ohio,No,No,43
Lender 372,Purchase,360000,690,Oklahoma,Yes,Yes,25
Lender 119,Home Equity,290000,640,Wyoming,No,Yes,22
Lender 154,Home Equity,330000,600,Vermont,Yes,No,7
Lender 318,Auto,320000,650,Colorado,No,No,20
Lender 103,Purchase,240000,670,Georgia,No,No,44
Lender 25,Purchase,320000,670,Georgia,Yes,Yes,30
Lender 141,Auto,330000,540,New York,Yes,No,46
Lender 29,Home Equity,250000,710,Alabama,No,No,4
Lender 44,Home Equity,300000,710,Oregon,No,Yes,16
Lender 378,Home Equity,270000,690,Oregon,Yes,Yes,40
Lender 58,ReFi,320000,670,Minnesota,No,Yes,43
Lender 281,Auto,330000,620,South Dakota,Yes,No,8
Lender 251,Purchase,200000,670,New Mexico,Yes,No,13
Lender 278,Purchase,300000,690,Iowa,Yes,Yes,12
Lender 112,Home Equity,280000,590,Texas,Yes,Yes,30
Lender 201,ReFi,330000,720,Iowa,Yes,Yes,46
Lender 213,Auto,340000,730,Connecticut,Yes,Yes,15
Lender 15,ReFi,280000,610,Arizona,No,Yes,6
Lender 356,Purchase,350000,720,Arkansas,Yes,No,38
Lender 334,Purchase,300000,630,Iowa,No,Yes,31
Lender 175,Home Equity,290000,610,Oregon,No,No,30
Lender 48,Auto,320000,650,South Dakota,No,Yes,6
Lender 115,Home Equity,300000,610,Indiana,Yes,No,9
Lender 321,Auto,280000,670,Washington,No,Yes,2
Lender 125,ReFi,230000,710,Florida,No,No,49
Lender 341,ReFi,280000,620,South Carolina,No,No,19
Lender 84,Auto,290000,670,Virginia,No,No,44
Lender 41,Purchase,270000,770,Alaska,Yes,Yes,41
Lender 249,Purchase,270000,690,Idaho,No,Yes,8
Lender 149,Auto,260000,730,Virginia,No,Yes,30
Lender 214,Home Equity,300000,660,South Carolina,No,No,0
Lender 229,Purchase,320000,650,Missouri,No,Yes,38
Lender 163,ReFi,220000,610,Nebraska,No,No,27
Lender 143,ReFi,280000,630,Washington,No,Yes,21
Lender 38,Purchase,280000,670,Virginia,Yes,No,1
Lender 49,Auto,290000,630,Minnesota,No,No,3
Lender 104,Purchase,310000,650,New Jersey,No,Yes,12
Lender 19,Purchase,250000,760,Wyoming,Yes,Yes,17
Lender 367,Auto,330000,580,Arkansas,No,No,35
Lender 340,ReFi,330000,660,Utah,Yes,No,33
Lender 205,Purchase,270000,630,New Mexico,No,Yes,38
Lender 128,Auto,210000,670,Rhode Island,Yes,Yes,30
Lender 381,Auto,340000,650,Arizona,No,No,18
Lender 217,ReFi,230000,680,Vermont,Yes,No,13
Lender 231,ReFi,290000,680,Oklahoma,No,No,43
Lender 174,Home Equity,270000,690,Tennessee,No,Yes,11
Lender 279,Home Equity,330000,630,Minnesota,No,Yes,33
Lender 198,ReFi,260000,720,Nevada,No,Yes,21
Lender 95,ReFi,300000,670,Utah,Yes,No,10
Lender 61,Home Equity,360000,610,Utah,No,No,20
Lender 257,Home Equity,250000,600,West Virginia,No,Yes,9
Lender 295,Home Equity,330000,660,Michigan,No,Yes,26
Lender 75,Home Equity,280000,650,Kansas,No,No,31
Lender 106,Auto,310000,600,Oklahoma,Yes,No,46
Lender 288,Auto,260000,680,Montana,No,No,12
Lender 294,ReFi,320000,760,New Hampshire,Yes,No,21
Lender 114,ReFi,280000,640,Missouri,Yes,Yes,2
Lender 229,Auto,280000,660,Indiana,Yes,Yes,0
Lender 170,ReFi,290000,720,Idaho,No,No,3
Lender 221,Purchase,390000,670,Massachusetts,Yes,No,26
Lender 120,Auto,280000,630,Kansas,Yes,Yes,23
Lender 237,Home Equity,320000,700,Delaware,No,No,5
Lender 384,Home Equity,330000,690,New Hampshire,No,No,22
Lender 245,Home Equity,360000,670,Louisiana,No,Yes,38
Lender 185,Purchase,330000,700,Louisiana,Yes,No,1
Lender 252,Purchase,340000,680,Georgia,Yes,No,34
Lender 288,Home Equity,290000,680,New York,No,Yes,17
Lender 383,Purchase,320000,630,Montana,Yes,No,47
Lender 51,Purchase,290000,700,North Dakota,Yes,No,40
Lender 66,Home Equity,310000,630,Georgia,Yes,No,39
Lender 37,Home Equity,290000,660,Colorado,No,No,0
Lender 20,Home Equity,270000,660,New Hampshire,Yes,Yes,33
Lender 256,Home Equity,290000,640,Idaho,Yes,Yes,13
Lender 219,Home Equity,340000,670,New Mexico,Yes,Yes,30
Lender 15,ReFi,330000,650,North Carolina,Yes,Yes,17
Lender 57,Home Equity,240000,710,Maine,Yes,No,26
Lender 328,Auto,330000,660,Utah,Yes,No,40
Lender 74,Auto,270000,620,Mississippi,No,Yes,35
Lender 4,Purchase,260000,650,New Hampshire,Yes,Yes,19
Lender 318,Purchase,220000,630,Mississippi,No,No,38
Lender 323,Auto,280000,590,New Hampshire,No,No,3
Lender 243,ReFi,280000,650,North Carolina,No,No,39
Lender 299,ReFi,230000,720,New Mexico,No,No,46
Lender 313,ReFi,280000,620,Missouri,Yes,No,50
Lender 252,Home Equity,360000,620,New Hampshire,Yes,Yes,21
Lender 256,Purchase,330000,680,Wisconsin,Yes,No,11
Lender 133,Home Equity,330000,670,Montana,Yes,Yes,2
Lender 183,ReFi,300000,640,Pennsylvania,Yes,Yes,47
Lender 159,ReFi,270000,680,Montana,Yes,No,31
Lender 266,ReFi,300000,640,Oregon,No,Yes,42
Lender 181,ReFi,360000,650,Ohio,No,Yes,34
Lender 359,ReFi,320000,730,Indiana,Yes,No,23
Lender 369,Home Equity,250000,610,Michigan,No,No,13
Lender 148,ReFi,310000,740,Indiana,Yes,No,27
Lender 276,ReFi,270000,640,Missouri,No,Yes,0
Lender 287,Purchase,260000,690,Texas,Yes,Yes,4
Lender 381,Home Equity,320000,830,Georgia,Yes,Yes,22
Lender 383,Home Equity,260000,660,Missouri,No,Yes,9
Lender 250,Purchase,300000,630,Indiana,Yes,No,40
Lender 102,Purchase,300000,720,Indiana,No,No,8
Lender 19,Home Equity,340000,670,Hawaii,Yes,Yes,6
Lender 304,ReFi,310000,650,Massachusetts,No,No,6
Lender 52,ReFi,310000,680,Connecticut,No,Yes,27
Lender 44,Auto,330000,690,Nebraska,Yes,No,19
Lender 260,Auto,260000,720,Oregon,No,Yes,48
Lender 335,Home Equity,300000,610,Arkansas,No,Yes,45
Lender 130,Auto,310000,700,Delaware,No,No,5
Lender 183,Auto,280000,690,Nebraska,No,No,20
Lender 344,Home Equity,220000,680,Louisiana,Yes,Yes,18
Lender 45,Auto,270000,660,Alabama,Yes,Yes,49
Lender 240,ReFi,310000,640,Nebraska,Yes,Yes,4
Lender 271,Purchase,290000,740,Alabama,Yes,Yes,4
Lender 368,Auto,340000,650,Oklahoma,Yes,No,22
Lender 358,Purchase,360000,680,Delaware,No,No,49
Lender 164,Purchase,270000,720,Nevada,Yes,Yes,9
Lender 256,Auto,280000,610,Texas,No,No,29
Lender 258,Auto,330000,670,Wisconsin,No,No,35
Lender 223,ReFi,320000,680,Nevada,Yes,No,16
Lender 185,ReFi,310000,720,New Hampshire,Yes,Yes,20
Lender 195,ReFi,320000,770,Michigan,Yes,No,9
Lender 400,Home Equity,280000,540,Louisiana,No,Yes,30
Lender 378,Home Equity,240000,730,Kentucky,No,No,36
Lender 146,Home Equity,310000,600,New Jersey,Yes,Yes,41
Lender 262,Home Equity,250000,670,Montana,No,Yes,11
Lender 382,Purchase,260000,670,Connecticut,No,No,33
Lender 82,Purchase,280000,660,Louisiana,No,Yes,1
Lender 159,Auto,320000,740,Rhode Island,Yes,Yes,25
Lender 16,Home Equity,310000,650,Oregon,Yes,No,15
Lender 344,ReFi,280000,650,Illinois,Yes,No,30
Lender 343,Purchase,260000,670,New Mexico,Yes,Yes,28
Lender 346,Home Equity,290000,620,Alaska,Yes,Yes,21
Lender 281,Home Equity,300000,610,Alaska,No,No,30
Lender 313,Auto,330000,700,Hawaii,Yes,No,21
Lender 314,ReFi,310000,720,Montana,No,No,37
Lender 322,Home Equity,340000,680,Pennsylvania,No,Yes,49
Lender 367,Purchase,270000,660,Illinois,No,Yes,48
Lender 19,ReFi,310000,590,Vermont,No,No,42
Lender 133,Home Equity,300000,650,Pennsylvania,No,Yes,30
Lender 359,ReFi,310000,590,New Hampshire,No,Yes,37
Lender 77,ReFi,310000,750,California,No,No,44
Lender 248,ReFi,330000,650,Connecticut,Yes,Yes,24
Lender 109,Purchase,330000,630,Rhode Island,No,Yes,13
Lender 378,Home Equity,280000,670,Delaware,No,No,39
Lender 69,Purchase,320000,670,Oklahoma,Yes,Yes,11
Lender 171,ReFi,260000,780,Florida,Yes,Yes,8
Lender 121,ReFi,320000,600,Connecticut,No,Yes,9
Lender 392,ReFi,270000,710,Idaho,No,No,28
Lender 271,Purchase,280000,670,Nevada,No,No,23
Lender 254,Purchase,330000,610,Ohio,No,Yes,45
Lender 286,ReFi,290000,700,Louisiana,No,Yes,25
Lender 259,ReFi,270000,630,Oregon,Yes,No,25
Lender 334,Auto,250000,620,Mississippi,Yes,Yes,13
Lender 78,ReFi,310000,740,Ohio,No,Yes,36
Lender 346,ReFi,310000,740,California,Yes,No,14
Lender 338,Auto,280000,640,Nebraska,No,Yes,30
Lender 98,Auto,290000,670,South Dakota,Yes,Yes,17
Lender 46,Home Equity,320000,700,Connecticut,No,Yes,42
Lender 58,Auto,310000,600,Utah,No,No,2
Lender 276,ReFi,320000,580,Oregon,Yes,No,24
Lender 310,Auto,320000,740,Georgia,No,No,46
Lender 275,Auto,240000,630,Arizona,No,No,29
Lender 99,Home Equity,370000,520,Missouri,Yes,Yes,29
Lender 145,Home Equity,320000,590,New Jersey,No,Yes,21
Lender 39,ReFi,320000,660,Connecticut,No,No,16
Lender 216,Auto,310000,680,Tennessee,No,No,26
Lender 47,Home Equity,270000,640,Vermont,Yes,Yes,26
Lender 276,Home Equity,270000,660,Nebraska,No,No,38
Lender 380,Auto,340000,630,Connecticut,No,No,41
Lender 196,Purchase,320000,720,Michigan,No,No,31
Lender 91,Home Equity,290000,630,Alaska,Yes,No,27
Lender 186,Purchase,280000,630,Washington,Yes,No,49
Lender 335,ReFi,240000,640,Texas,No,No,46
Lender 5,Purchase,290000,710,Virginia,No,Yes,20
Lender 204,Auto,300000,640,North Dakota,Yes,Yes,44
Lender 144,Auto,290000,760,Colorado,No,Yes,37
Lender 192,Auto,330000,720,Virginia,Yes,Yes,21
Lender 203,ReFi,350000,730,Pennsylvania,Yes,No,11
Lender 358,Home Equity,280000,690,Indiana,Yes,Yes,0
Lender 208,Auto,300000,670,Connecticut,No,No,21
Lender 126,ReFi,300000,690,Alabama,Yes,No,11
Lender 396,Home Equity,280000,710,Wisconsin,No,Yes,42
Lender 27,Home Equity,230000,660,South Dakota,No,Yes,35
Lender 56,Auto,290000,600,New Hampshire,No,No,13
Lender 256,Purchase,360000,640,Missouri,No,No,27
Lender 87,Auto,280000,690,Tennessee,Yes,Yes,7
Lender 53,ReFi,320000,680,Montana,No,Yes,50
Lender 8,Purchase,280000,680,Rhode Island,Yes,Yes,26
Lender 47,Auto,280000,660,North Dakota,No,No,46
Lender 282,Auto,200000,750,California,Yes,No,32
Lender 356,ReFi,300000,720,Arkansas,No,Yes,36
Lender 183,Home Equity,370000,620,Texas,Yes,Yes,11
Lender 33,Home Equity,260000,620,Vermont,No,Yes,12
Lender 197,Purchase,270000,640,Nevada,No,No,11
Lender 285,Purchase,320000,690,Michigan,Yes,No,8
Lender 356,Purchase,360000,660,Georgia,No,No,34
Lender 53,Auto,260000,610,Oregon,Yes,Yes,5
Lender 312,Purchase,290000,760,New Hampshire,No,Yes,21
Lender 77,Home Equity,280000,710,Kentucky,No,No,31
Lender 131,Home Equity,320000,720,Illinois,Yes,Yes,17
Lender 249,Auto,390000,730,Virginia,Yes,No,23
Lender 28,ReFi,320000,590,Virginia,Yes,Yes,30
Lender 368,Auto,280000,640,North Carolina,No,Yes,26
Lender 312,Purchase,330000,670,Arkansas,No,Yes,7
Lender 318,Home Equity,320000,630,Colorado,No,No,9
Lender 353,ReFi,300000,610,Arkansas,Yes,Yes,34
Lender 323,Auto,340000,580,New Jersey,Yes,No,44
Lender 275,Home Equity,320000,670,Connecticut,Yes,No,33
Lender 291,ReFi,350000,670,Wyoming,No,Yes,13
Lender 241,ReFi,290000,630,Oregon,Yes,No,27
Lender 260,ReFi,260000,680,North Dakota,No,Yes,37
Lender 258,Purchase,260000,710,Ohio,Yes,No,5
Lender 182,Home Equity,320000,710,Illinois,Yes,No,32
Lender 206,Home Equity,270000,660,Wyoming,No,Yes,18
Lender 168,Purchase,310000,630,Connecticut,Yes,Yes,40
Lender 210,Auto,290000,750,New York,Yes,No,3
Lender 222,Auto,280000,650,Oklahoma,Yes,Yes,17
Lender 362,Home Equity,300000,680,Nebraska,Yes,No,46
Lender 62,Auto,280000,690,Idaho,Yes,No,24
Lender 189,Home Equity,280000,620,Louisiana,No,Yes,29
Lender 354,Auto,280000,590,Virginia,No,No,41
Lender 398,Home Equity,310000,730,Massachusetts,No,No,27
Lender 147,Auto,340000,590,Alaska,No,Yes,17
Lender 397,Auto,330000,610,New York,Yes,No,46
Lender 60,Auto,330000,600,Nebraska,Yes,No,19
Lender 367,ReFi,390000,670,Oregon,No,Yes,46
Lender 130,Purchase,370000,670,Rhode Island,No,Yes,47
Lender 198,Auto,350000,690,Nebraska,No,No,6
Lender 347,ReFi,320000,700,North Carolina,No,No,36
Lender 1,Auto,290000,640,Wyoming,Yes,Yes,39
Lender 287,Auto,250000,650,Nebraska,Yes,Yes,18
Lender 53,Purchase,310000,620,Hawaii,No,Yes,20
Lender 114,Purchase,250000,730,Georgia,Yes,Yes,23
Lender 81,ReFi,290000,690,Arizona,Yes,Yes,35
Lender 352,Home Equity,360000,720,Hawaii,Yes,No,10
Lender 32,Home Equity,220000,600,Oklahoma,Yes,No,35
Lender 182,Purchase,310000,640,Kentucky,Yes,No,48
Lender 280,ReFi,380000,730,Massachusetts,Yes,No,10
Lender 163,Home Equity,230000,640,North Carolina,Yes,No,3
Lender 3,ReFi,310000,610,Georgia,No,No,49
Lender 141,Purchase,310000,630,Mississippi,No,No,49
Lender 86,Auto,220000,610,Missouri,Yes,No,45
Lender 73,Purchase,230000,580,Rhode Island,No,No,1
Lender 187,ReFi,300000,700,Virginia,No,Yes,36
Lender 111,Auto,320000,580,North Carolina,Yes,No,46
Lender 318,Auto,250000,690,Wyoming,No,No,29
Lender 316,Auto,290000,650,North Carolina,Yes,No,20
Lender 49,ReFi,280000,650,Michigan,No,No,8
Lender 161,Home Equity,280000,590,Wyoming,Yes,Yes,35
Lender 41,Home Equity,280000,690,Washington,Yes,Yes,13
Lender 144,Auto,290000,690,Arkansas,Yes,No,18
Lender 310,Purchase,290000,670,Delaware,Yes,No,41
Lender 168,ReFi,330000,690,Arkansas,No,No,36
Lender 17,Auto,330000,790,Nebraska,No,No,28
Lender 394,Auto,280000,710,Florida,No,Yes,21
Lender 155,Purchase,260000,660,Wisconsin,No,Yes,41
Lender 331,Auto,280000,630,Kansas,Yes,Yes,27
Lender 354,Purchase,350000,610,Nevada,No,No,44
Lender 171,Purchase,250000,580,Arkansas,Yes,Yes,6
Lender 358,ReFi,300000,660,Delaware,Yes,No,11
Lender 307,Auto,230000,670,Pennsylvania,No,No,26
Lender 157,Purchase,300000,670,West Virginia,Yes,No,37
Lender 41,Home Equity,350000,680,Alabama,No,Yes,48
Lender 240,Home Equity,270000,690,Illinois,No,No,38
Lender 148,Purchase,240000,640,Nevada,No,No,34
Lender 298,ReFi,350000,670,North Dakota,Yes,No,43
Lender 203,ReFi,320000,680,Arkansas,Yes,No,23
Lender 188,ReFi,280000,730,Mississippi,No,Yes,45
Lender 21,Home Equity,330000,700,Maine,Yes,No,36
Lender 307,Purchase,280000,650,Idaho,Yes,No,6
Lender 85,Purchase,290000,710,Indiana,No,Yes,48
Lender 391,Auto,250000,690,South Dakota,Yes,No,8
Lender 282,ReFi,280000,640,Kentucky,No,Yes,38
Lender 393,ReFi,360000,590,Maryland,No,Yes,1
Lender 185,Auto,320000,680,Florida,No,Yes,24
Lender 142,ReFi,410000,680,Ohio,Yes,Yes,11
Lender 307,Purchase,270000,620,South Dakota,Yes,No,6
Lender 227,Auto,280000,710,Missouri,No,No,15
Lender 122,Home Equity,340000,660,Oregon,Yes,No,18
Lender 142,Auto,320000,550,West Virginia,Yes,Yes,7
Lender 209,Home Equity,290000,640,Alaska,No,Yes,33
Lender 295,Home Equity,350000,630,Rhode Island,Yes,Yes,20
Lender 398,Purchase,230000,670,Massachusetts,No,Yes,23
Lender 143,Home Equity,330000,680,West Virginia,No,No,14
Lender 338,Purchase,310000,700,Hawaii,Yes,No,0
Lender 307,Auto,340000,640,South Carolina,Yes,No,17
Lender 67,ReFi,280000,620,Washington,No,Yes,12
Lender 3,Auto,290000,770,Washington,No,No,43
Lender 280,Home Equity,330000,710,Ohio,No,Yes,36
Lender 49,Home Equity,330000,680,Utah,No,Yes,22
Lender 95,Home Equity,280000,640,Georgia,No,No,38
Lender 106,Purchase,310000,650,Wyoming,No,No,2
Lender 78,Purchase,340000,550,Missouri,Yes,Yes,20
Lender 391,Purchase,290000,730,Texas,No,Yes,36
Lender 97,Home Equity,280000,650,Georgia,No,No,26
Lender 280,ReFi,300000,730,Alabama,Yes,Yes,41
Lender 287,Auto,250000,680,Maine,Yes,No,30
Lender 325,ReFi,260000,630,Kentucky,No,Yes,18
Lender 289,ReFi,280000,640,Indiana,No,No,35
Lender 250,Auto,350000,640,Maine,No,No,39
Lender 98,Home Equity,290000,730,Virginia,No,No,38
Lender 211,Purchase,360000,630,New Jersey,No,No,36
Lender 245,Home Equity,290000,660,New Hampshire,Yes,Yes,6
Lender 126,Purchase,310000,660,New York,Yes,No,22
Lender 363,Purchase,320000,750,Massachusetts,Yes,No,2
Lender 57,ReFi,280000,670,California,Yes,No,4
Lender 215,ReFi,260000,730,Arizona,No,Yes,6
Lender 136,ReFi,260000,650,Pennsylvania,Yes,Yes,33
Lender 253,Auto,270000,740,Rhode Island,No,No,50
Lender 26,Home Equity,320000,650,South Carolina,No,No,15
Lender 151,ReFi,310000,680,Indiana,Yes,No,42
Lender 274,ReFi,330000,610,Kentucky,Yes,No,43
Lender 94,Purchase,260000,750,Maine,Yes,No,47
Lender 319,ReFi,270000,650,New Jersey,Yes,No,21
Lender 340,Purchase,360000,680,North Carolina,No,No,29
Lender 143,Home Equity,370000,650,Ohio,No,Yes,9
Lender 157,Auto,320000,650,Nevada,No,No,11
Lender 269,Purchase,240000,690,Mississippi,Yes,Yes,10
Lender 209,Auto,260000,680,Alaska,No,Yes,20
Lender 368,ReFi,310000,660,Colorado,Yes,No,43
Lender 74,ReFi,320000,680,Montana,No,No,24
Lender 324,Purchase,310000,670,North Dakota,No,Yes,5
Lender 106,ReFi,290000,650,New York,No,Yes,27
Lender 368,Purchase,310000,790,Tennessee,No,Yes,22
Lender 271,Home Equity,290000,800,Kansas,No,No,15
Lender 271,ReFi,240000,700,South Dakota,No,Yes,48
Lender 90,Auto,310000,530,Florida,No,Yes,22
Lender 227,Auto,280000,610,Indiana,Yes,Yes,22
Lender 4,ReFi,290000,650,Wisconsin,No,Yes,33
Lender 48,Auto,290000,710,Connecticut,No,Yes,35
Lender 247,Home Equity,250000,650,Montana,Yes,Yes,40
Lender 352,Home Equity,300000,610,Texas,No,No,39
Lender 195,ReFi,310000,610,North Carolina,No,Yes,45
Lender 318,Purchase,310000,690,Maine,Yes,No,25
Lender 249,Home Equity,270000,650,Hawaii,Yes,Yes,49
Lender 59,Auto,290000,670,Kansas,No,No,21
Lender 147,Purchase,290000,680,Montana,No,No,42
Lender 290,ReFi,310000,710,Kentucky,Yes,No,28
Lender 223,ReFi,220000,720,Delaware,No,Yes,50
Lender 364,Purchase,280000,610,New Jersey,Yes,No,17
Lender 117,Purchase,270000,650,North Dakota,Yes,Yes,19
Lender 355,Purchase,270000,620,Wisconsin,No,No,18
Lender 128,Home Equity,280000,650,Mississippi,No,No,6
Lender 41,Purchase,270000,660,Mississippi,Yes,No,40
Lender 304,Purchase,380000,710,Nebraska,No,Yes,24
Lender 242,Auto,260000,590,Alabama,Yes,Yes,40
Lender 169,Home Equity,250000,700,Arizona,No,No,30
Lender 360,Auto,250000,610,Nevada,No,No,28
Lender 19,Home Equity,320000,680,Iowa,Yes,Yes,7
Lender 291,ReFi,320000,740,Maryland,No,No,42
Lender 239,Purchase,200000,570,Arizona,No,Yes,39
Lender 5,Purchase,260000,700,Tennessee,No,No,6
Lender 119,Auto,250000,670,Oregon,No,Yes,41
Lender 24,Auto,280000,690,Colorado,No,Yes,42
Lender 297,Purchase,260000,680,Washington,No,No,3
Lender 203,Auto,340000,730,Vermont,Yes,No,21
Lender 242,Purchase,310000,670,Rhode Island,Yes,Yes,36
Lender 342,Home Equity,250000,670,Tennessee,Yes,No,43
Lender 238,Purchase,290000,620,South Dakota,No,No,9
Lender 62,Purchase,310000,560,Illinois,No,Yes,34
Lender 337,Home Equity,280000,730,Hawaii,No,Yes,28
Lender 236,Home Equity,280000,690,Mississippi,Yes,No,21
Lender 313,Auto,260000,720,Nevada,No,No,43
Lender 248,Home Equity,280000,710,Ohio,No,No,46
Lender 31,Home Equity,270000,690,California,Yes,No,21
Lender 187,Purchase,240000,740,Illinois,No,Yes,13
Lender 171,ReFi,270000,670,Pennsylvania,Yes,Yes,19
Lender 244,ReFi,310000,710,Oklahoma,No,No,0
Lender 217,Home Equity,270000,550,Delaware,Yes,No,22
Lender 213,Home Equity,300000,650,Alaska,No,Yes,15
Lender 147,ReFi,330000,690,Oklahoma,Yes,No,5
Lender 109,Home Equity,270000,630,Alaska,No,Yes,28
Lender 91,Home Equity,340000,700,Delaware,No,No,12
Lender 232,Purchase,290000,590,Louisiana,Yes,No,32
Lender 357,Auto,270000,620,Hawaii,Yes,Yes,22
Lender 83,ReFi,310000,730,Virginia,No,Yes,17
Lender 6,Purchase,270000,660,Georgia,Yes,Yes,2
Lender 365,Home Equity,320000,800,Wisconsin,Yes,Yes,47
Lender 324,ReFi,280000,550,Wisconsin,Yes,No,16
Lender 89,Home Equity,280000,630,Massachusetts,No,No,25
Lender 214,Home Equity,260000,700,Rhode Island,No,Yes,50
Lender 325,Purchase,280000,750,Kansas,Yes,No,20
Lender 87,Auto,240000,650,Delaware,Yes,No,47
Lender 323,Home Equity,250000,680,Georgia,Yes,Yes,39
Lender 96,Auto,290000,670,Nevada,Yes,No,37
Lender 67,ReFi,340000,740,Wyoming,Yes,Yes,8
Lender 133,Purchase,330000,670,Washington,Yes,No,20
Lender 226,Purchase,330000,730,Illinois,No,Yes,30
Lender 166,Auto,340000,690,West Virginia,Yes,Yes,27
Lender 241,ReFi,310000,680,Nebraska,Yes,No,15
Lender 291,ReFi,270000,750,Iowa,Yes,Yes,21
Lender 60,Auto,290000,760,Maine,No,No,25
Lender 357,Auto,270000,680,Colorado,No,No,24
Lender 88,ReFi,310000,720,Alaska,Yes,Yes,29
Lender 135,ReFi,280000,650,Indiana,Yes,Yes,5
Lender 236,Auto,290000,610,Arizona,Yes,No,18
Lender 135,ReFi,320000,560,Michigan,Yes,No,17
Lender 294,Auto,270000,640,Tennessee,No,Yes,28
